div,ind,emp
Albert,Coal Mining,82
Algester,Coal Mining,54
Ashgrove,Coal Mining,111
Aspley,Coal Mining,80
Barron River,Coal Mining,88
Beaudesert,Coal Mining,78
Brisbane Central,Coal Mining,243
Broadwater,Coal Mining,34
Buderim,Coal Mining,135
Bulimba,Coal Mining,195
Bundaberg,Coal Mining,114
Bundamba,Coal Mining,109
Burdekin,Coal Mining,467
Burleigh,Coal Mining,50
Burnett,Coal Mining,268
Cairns,Coal Mining,43
Callide,Coal Mining,1100
Caloundra,Coal Mining,130
Capalaba,Coal Mining,47
Chatsworth,Coal Mining,114
Clayfield,Coal Mining,163
Cleveland,Coal Mining,65
Condamine,Coal Mining,218
Cook,Coal Mining,45
Coomera,Coal Mining,93
Currumbin,Coal Mining,58
Dalrymple,Coal Mining,1841
Everton,Coal Mining,75
Ferny Grove,Coal Mining,96
Gaven,Coal Mining,58
Gladstone,Coal Mining,203
Glass House,Coal Mining,133
Greenslopes,Coal Mining,102
Gregory,Coal Mining,3294
Gympie,Coal Mining,138
Hervey Bay,Coal Mining,134
Hinchinbrook,Coal Mining,178
Inala,Coal Mining,50
Indooroopilly,Coal Mining,152
Ipswich,Coal Mining,84
Ipswich West,Coal Mining,98
Kallangur,Coal Mining,72
Kawana,Coal Mining,154
Keppel,Coal Mining,1435
Lockyer,Coal Mining,95
Logan,Coal Mining,52
Lytton,Coal Mining,101
Mackay,Coal Mining,1643
Mansfield,Coal Mining,73
Maroochydore,Coal Mining,132
Maryborough,Coal Mining,153
Mermaid Beach,Coal Mining,39
Mirani,Coal Mining,3578
Moggill,Coal Mining,135
Morayfield,Coal Mining,71
Mount Coot-tha,Coal Mining,126
Mount Isa,Coal Mining,27
Mount Ommaney,Coal Mining,75
Mudgeeraba,Coal Mining,67
Mulgrave,Coal Mining,66
Mundingburra,Coal Mining,83
Murrumba,Coal Mining,138
Nanango,Coal Mining,408
Nicklin,Coal Mining,135
Noosa,Coal Mining,105
Nudgee,Coal Mining,112
Pine Rivers,Coal Mining,55
Pumicestone,Coal Mining,75
Redcliffe,Coal Mining,53
Redlands,Coal Mining,65
Rockhampton,Coal Mining,788
Sandgate,Coal Mining,57
South Brisbane,Coal Mining,144
Southern Downs,Coal Mining,60
Southport,Coal Mining,42
Springwood,Coal Mining,49
Stafford,Coal Mining,116
Stretton,Coal Mining,56
Sunnybank,Coal Mining,46
Surfers Paradise,Coal Mining,41
Thuringowa,Coal Mining,182
Toowoomba North,Coal Mining,100
Toowoomba South,Coal Mining,70
Total,Coal Mining,24925
Townsville,Coal Mining,107
Warrego,Coal Mining,102
Waterford,Coal Mining,32
Whitsunday,Coal Mining,2665
Woodridge,Coal Mining,33
Yeerongpilly,Coal Mining,56
